title,publisher,setName,subSet,setCount,releaseDate,setYear,tcdbUrl,priceguideUrl,setType
2015 Topps Supreme - Rookie Quad Patches,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127219/2015-Topps-Supreme---Rookie-Quad-Patches,,Football
2001 Donruss Elite - Prime Numbers,,,,30,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12722/2001-Donruss-Elite---Prime-Numbers,,Baseball
2015 Topps Supreme - Rookie Quad Patches Gold,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127220/2015-Topps-Supreme---Rookie-Quad-Patches-Gold,,Football
2015 Topps Supreme - Rookie Quad Patches Green,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127221/2015-Topps-Supreme---Rookie-Quad-Patches-Green,,Football
2015 Topps Supreme - Rookie Quad Patches Red,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127222/2015-Topps-Supreme---Rookie-Quad-Patches-Red,,Football
2015 Topps Supreme - Supreme Autograph,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127223/2015-Topps-Supreme---Supreme-Autograph,,Football
2015 Topps Supreme - Supreme Autograph Gold,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127224/2015-Topps-Supreme---Supreme-Autograph-Gold,,Football
2015 Topps Supreme - Supreme Autograph Green,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127225/2015-Topps-Supreme---Supreme-Autograph-Green,,Football
2015 Topps Supreme - Supreme Autograph Patch,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127226/2015-Topps-Supreme---Supreme-Autograph-Patch,,Football
2015 Topps Supreme - Supreme Autograph Patch Gold,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127227/2015-Topps-Supreme---Supreme-Autograph-Patch-Gold,,Football
2015 Topps Supreme - Supreme Autograph Patch Green,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127228/2015-Topps-Supreme---Supreme-Autograph-Patch-Green,,Football
2015 Topps Supreme - Supreme Autograph Patch Red,,,,30,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127229/2015-Topps-Supreme---Supreme-Autograph-Patch-Red,,Football
2001 Donruss Elite - Prime Numbers Die Cuts,,,,30,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12723/2001-Donruss-Elite---Prime-Numbers-Die-Cuts,,Baseball
2015 Topps Supreme - Supreme Autograph Printing Plates Black,,,,35,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127230/2015-Topps-Supreme---Supreme-Autograph-Printing-Plates-Black,,Football
